date,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2021-04-12,4736,0,0,0,0,0,0,3540,0,0,0,0,0,0
2021-04-13,4350,0,0,0,0,0,0,2998,0,0,0,0,0,0
2021-04-14,5350,0,0,0,0,0,0,4147,0,0,0,0,0,0
2021-04-15,8925,0,0,0,0,0,0,7177,0,0,0,0,0,0
2021-04-16,10919,0,0,0,0,0,0,9548,0,0,0,0,0,0
2021-04-17,7711,0,0,0,0,0,0,6922,0,0,0,0,0,0
2021-04-18,8442,0,0,0,0,0,0,7845,0,0,0,0,0,0
2021-04-19,31212,0,0,0,0,0,0,25543,0,0,0,0,0,0
2021-04-20,48363,0,0,0,0,0,0,39537,0,0,0,0,0,0
2021-04-21,57757,0,0,0,0,0,0,47321,0,0,0,0,0,0
2021-04-22,55462,0,0,0,0,0,0,45914,0,0,0,0,0,0
2021-04-23,52240,0,0,0,0,0,0,45004,0,0,0,0,0,0
2021-04-24,35715,0,0,0,0,0,0,31858,0,0,0,0,0,0
2021-04-25,25573,0,0,0,0,0,0,23445,0,0,0,0,0,0
2021-04-26,56417,0,0,0,0,0,0,45947,0,0,0,0,0,0
2021-04-27,75065,0,0,0,0,0,0,61826,0,0,0,0,0,0
2021-04-28,81534,0,0,0,0,0,0,68708,0,0,0,0,0,0
2021-04-29,20425,0,0,0,0,0,0,17318,0,0,0,0,0,0
2021-04-30,61840,0,0,0,0,0,0,52621,0,0,0,0,0,0
2021-05-01,40669,0,0,0,0,0,0,36153,0,0,0,0,0,0
2021-05-02,27313,0,0,0,0,0,0,24769,0,0,0,0,0,0
2021-05-03,7405,804,0,0,0,0,0,6256,675,0,0,0,0,0
2021-05-04,8507,699,0,0,0,0,0,7293,501,0,0,0,0,0
2021-05-05,9834,910,0,0,0,0,0,8510,639,0,0,0,0,0
2021-05-06,47945,9285,0,0,0,0,0,39912,7344,0,0,0,0,0
2021-05-07,50827,11975,0,0,0,0,0,42770,10153,0,0,0,0,0
2021-05-08,63176,7722,0,0,0,0,0,56642,6842,0,0,0,0,0
2021-05-09,75852,8238,0,0,0,0,0,70343,7676,0,0,0,0,0
2021-05-10,106239,29053,0,0,0,0,0,90221,23779,0,0,0,0,0
2021-05-11,133762,45422,0,0,0,0,0,113039,37018,0,0,0,0,0
2021-05-12,163707,54317,0,0,0,0,0,141517,44475,0,0,0,0,0
2021-05-13,160227,52990,0,0,0,0,0,139024,44018,0,0,0,0,0
2021-05-14,136906,51875,0,0,0,0,0,119569,44872,0,0,0,0,0
2021-05-15,139847,35424,0,0,0,0,0,128139,31831,0,0,0,0,0
2021-05-16,190290,24345,0,0,0,0,0,177167,22316,0,0,0,0,0
2021-05-17,211855,52867,0,0,0,0,0,187753,43152,0,0,0,0,0
2021-05-18,258130,68945,0,0,0,0,0,227049,56732,0,0,0,0,0
2021-05-19,313558,72622,0,0,0,0,0,278545,61245,0,0,0,0,0
2021-05-20,327492,28545,0,0,0,0,0,292049,23965,0,0,0,0,0
2021-05-21,284723,61597,0,0,0,0,0,255552,52961,0,0,0,0,0
2021-05-22,288179,43073,0,0,0,0,0,265422,38693,0,0,0,0,0
2021-05-23,327558,28000,0,0,0,0,0,305486,25511,0,0,0,0,0
2021-05-24,454389,10345,0,0,0,0,0,408370,8733,0,0,0,0,0
2021-05-25,525581,11023,0,0,0,0,0,469272,9341,0,0,0,0,0
2021-05-26,582105,12705,0,0,0,0,0,522205,10870,0,0,0,0,0
2021-05-27,563684,45550,0,0,0,0,0,507679,38244,0,0,0,0,0
2021-05-28,537655,48480,0,0,0,0,0,488529,40859,0,0,0,0,0
2021-05-29,478768,60191,0,0,0,0,0,443714,54049,0,0,0,0,0
2021-05-30,465045,67770,0,0,0,0,0,435657,62953,0,0,0,0,0
2021-05-31,538531,96054,0,0,0,0,0,491285,81829,0,0,0,0,0
2021-06-01,659417,122682,0,0,0,0,0,599383,103915,0,0,0,0,0
2021-06-02,681401,150424,0,0,0,0,0,619934,129725,0,0,0,0,0
2021-06-03,685851,148895,0,0,0,0,0,625375,129111,0,0,0,0,0
2021-06-04,667750,126468,0,0,0,0,0,613929,110384,0,0,0,0,0
2021-06-05,625857,131834,0,0,0,0,0,585395,120698,0,0,0,0,0
2021-06-06,569959,183335,0,0,0,0,0,536604,170829,0,0,0,0,0
2021-06-07,675405,196298,0,0,0,0,0,619908,174093,0,0,0,0,0
2021-06-08,739420,239798,0,0,0,0,0,676143,211183,0,0,0,0,0
2021-06-09,725609,295345,0,0,0,0,0,663636,262740,0,0,0,0,0
2021-06-10,708212,312218,0,0,0,0,0,651531,278822,0,0,0,0,0
2021-06-11,716442,274543,0,0,0,0,0,662880,246801,0,0,0,0,0
2021-06-12,671330,279813,0,0,0,0,0,632189,257938,0,0,0,0,0
2021-06-13,610731,319021,0,0,0,0,0,579600,297779,0,0,0,0,0
2021-06-14,619442,423164,0,0,0,0,0,573342,380351,0,0,0,0,0
2021-06-15,669524,492175,0,0,0,0,0,616842,440054,0,0,0,0,0
2021-06-16,650173,544996,0,0,0,0,0,599142,489429,0,0,0,0,0
2021-06-17,657086,531047,0,0,0,0,0,607882,478562,0,0,0,0,0
2021-06-18,639031,508856,0,0,0,0,0,595638,462554,0,0,0,0,0
2021-06-19,675509,449215,0,0,0,0,0,641644,415809,0,0,0,0,0
2021-06-20,676056,442169,0,0,0,0,0,646579,414170,0,0,0,0,0
2021-06-21,706107,511019,0,0,0,0,0,663684,465709,0,0,0,0,0
2021-06-22,742782,620998,0,0,0,0,0,697145,564121,0,0,0,0,0
2021-06-23,755378,643010,0,0,0,0,0,711127,584656,0,0,0,0,0
2021-06-24,733096,643732,0,0,0,0,0,691688,587271,0,0,0,0,0
2021-06-25,721086,637413,0,0,0,0,0,684505,586122,0,0,0,0,0
2021-06-26,760092,596117,0,0,0,0,0,730401,557479,0,0,0,0,0
2021-06-27,786806,548801,0,0,0,0,0,759078,516534,0,0,0,0,0
2021-06-28,734737,649695,0,0,0,0,0,700774,597252,0,0,0,0,0
2021-06-29,790732,713038,0,0,0,0,0,753350,652670,0,0,0,0,0
2021-06-30,833683,710096,0,0,0,0,0,796434,650275,0,0,0,0,0
2021-07-01,638861,680010,0,0,0,0,0,616330,625751,0,0,0,0,0
2021-07-02,599801,692515,0,0,0,0,0,581735,641391,0,0,0,0,0
2021-07-03,891297,635460,0,0,0,0,0,864473,597874,0,0,0,0,0
2021-07-04,843058,568368,0,0,0,0,0,817952,539184,0,0,0,0,0
2021-07-05,941927,610172,0,0,0,0,0,907149,565408,0,0,0,0,0
2021-07-06,997345,658504,0,0,0,0,0,960777,607291,0,0,0,0,0
2021-07-07,1025242,639007,0,0,0,0,0,988843,589067,0,0,0,0,0
2021-07-08,1027725,636753,0,0,0,0,0,993086,588967,0,0,0,0,0
2021-07-09,1038314,640100,0,0,0,0,0,1006419,596855,0,0,0,0,0
2021-07-10,1041994,663372,0,0,0,0,0,1015459,629774,0,0,0,0,0
2021-07-11,766471,672583,0,0,0,0,0,750314,642276,0,0,0,0,0
2021-07-12,803075,652937,0,0,0,0,0,780627,611060,0,0,0,0,0
2021-07-13,873359,675568,0,0,0,0,0,849008,630660,0,0,0,0,0
2021-07-14,861450,684956,0,0,0,0,0,838390,641248,0,0,0,0,0
2021-07-15,842157,670228,0,0,0,0,0,820625,628996,0,0,0,0,0
2021-07-16,872123,656679,0,0,0,0,0,851839,619729,0,0,0,0,0
2021-07-17,830071,697854,0,0,0,0,0,815407,667562,0,0,0,0,0
2021-07-18,616745,719951,0,0,0,0,0,606504,692408,0,0,0,0,0
2021-07-19,500679,661994,0,0,0,0,0,490552,628043,0,0,0,0,0
2021-07-20,777261,726855,0,0,0,0,0,759139,689541,0,0,0,0,0
2021-07-21,745385,775413,0,0,0,0,0,729663,737638,0,0,0,0,0
2021-07-22,324182,347145,0,0,0,0,0,319646,334733,0,0,0,0,0
2021-07-23,253344,274680,0,0,0,0,0,250023,266343,0,0,0,0,0
2021-07-24,467249,853327,0,0,0,0,0,460298,824209,0,0,0,0,0
2021-07-25,420936,790292,0,0,0,0,0,415073,764959,0,0,0,0,0
2021-07-26,559757,926882,0,0,0,0,0,547967,889259,0,0,0,0,0
2021-07-27,609330,952475,0,0,0,0,0,596529,914542,0,0,0,0,0
2021-07-28,602226,985415,0,0,0,0,0,590267,948257,0,0,0,0,0
2021-07-29,606574,972478,0,0,0,0,0,594755,935636,0,0,0,0,0
2021-07-30,635754,1007832,0,0,0,0,0,624544,974133,0,0,0,0,0
2021-07-31,641429,1006369,0,0,0,0,0,633223,978579,0,0,0,0,0
2021-08-01,560982,701392,0,0,0,0,0,554442,685789,0,0,0,0,0
2021-08-02,570647,819742,0,0,0,0,0,560805,796561,0,0,0,0,0
2021-08-03,588099,871255,0,0,0,0,0,578459,846585,0,0,0,0,0
2021-08-04,576076,866103,0,0,0,0,0,567273,842561,0,0,0,0,0
2021-08-05,563808,888370,0,0,0,0,0,554970,865761,0,0,0,0,0
2021-08-06,583563,946060,0,0,0,0,0,575022,924127,0,0,0,0,0
2021-08-07,699710,891794,0,0,0,0,0,692363,876082,0,0,0,0,0
2021-08-08,610601,635978,0,0,0,0,0,604531,625324,0,0,0,0,0
2021-08-09,168960,219844,0,0,0,0,0,166647,216339,0,0,0,0,0
2021-08-10,488922,836715,0,0,0,0,0,481068,816258,0,0,0,0,0
2021-08-11,498359,742397,0,0,0,0,0,490993,725360,0,0,0,0,0
2021-08-12,492160,437994,0,0,0,0,0,485405,430053,0,0,0,0,0
2021-08-13,345736,330609,0,0,0,0,0,340988,325210,0,0,0,0,0
2021-08-14,354777,412097,0,0,0,0,0,351158,405598,0,0,0,0,0
2021-08-15,369749,380085,0,0,0,0,0,366318,374576,0,0,0,0,0
2021-08-16,434697,586103,0,0,0,0,0,428299,573425,0,0,0,0,0
2021-08-17,547058,704001,0,0,0,0,0,539217,689508,0,0,0,0,0
2021-08-18,577611,684107,0,0,0,0,0,570204,670852,0,0,0,0,0
2021-08-19,576697,642501,0,0,0,0,0,569382,630089,0,0,0,0,0
2021-08-20,615532,696337,0,0,0,0,0,608400,684389,0,0,0,0,0
2021-08-21,721812,725784,0,0,0,0,0,715141,715982,0,0,0,0,0
2021-08-22,627918,612227,0,0,0,0,0,622479,604597,0,0,0,0,0
2021-08-23,548921,652788,0,0,0,0,0,541655,641679,0,0,0,0,0
2021-08-24,612302,655331,0,0,0,0,0,604054,644697,0,0,0,0,0
2021-08-25,605117,637382,0,0,0,0,0,597591,627359,0,0,0,0,0
2021-08-26,570625,603745,0,0,0,0,0,563919,594312,0,0,0,0,0
2021-08-27,641875,668137,0,0,0,0,0,634864,658670,0,0,0,0,0
2021-08-28,730720,749647,0,0,0,0,0,724365,741378,0,0,0,0,0
2021-08-29,599488,632761,0,0,0,0,0,594008,626153,0,0,0,0,0
2021-08-30,390393,287630,0,0,0,0,0,385827,283464,0,0,0,0,0
2021-08-31,652201,536848,0,0,0,0,0,644364,528129,0,0,0,0,0
2021-09-01,647383,496481,0,0,0,0,0,639733,488936,0,0,0,0,0
2021-09-02,423122,505651,0,0,0,0,0,418170,498493,0,0,0,0,0
2021-09-03,742555,421548,0,0,0,0,0,734455,415703,0,0,0,0,0
2021-09-04,958682,455795,0,0,0,0,0,950014,451169,0,0,0,0,0
2021-09-05,778724,403444,0,0,0,0,0,771580,399628,0,0,0,0,0
2021-09-06,619589,420400,0,0,0,0,0,612375,414102,0,0,0,0,0
2021-09-07,632808,529823,0,0,0,0,0,625161,522142,0,0,0,0,0
2021-09-08,599833,555022,0,0,0,0,0,592709,547657,0,0,0,0,0
2021-09-09,586866,543234,0,0,0,0,0,579920,536282,0,0,0,0,0
2021-09-10,650848,614737,0,0,0,0,0,644065,607711,0,0,0,0,0
2021-09-11,788153,725567,0,0,0,0,0,781281,718877,0,0,0,0,0
2021-09-12,620101,596420,0,0,0,0,0,614457,591117,0,0,0,0,0
2021-09-13,511954,518361,0,0,0,0,0,506168,511460,0,0,0,0,0
2021-09-14,538136,554932,0,0,0,0,0,531949,547293,0,0,0,0,0
2021-09-15,515004,556466,0,0,0,0,0,508957,549259,0,0,0,0,0
2021-09-16,501411,560562,0,0,0,0,0,495562,553637,0,0,0,0,0
2021-09-17,578397,642908,0,0,0,0,0,572581,635531,0,0,0,0,0
2021-09-18,740625,727671,0,0,0,0,0,734642,721058,0,0,0,0,0
2021-09-19,577116,569799,0,0,0,0,0,571855,564597,0,0,0,0,0
2021-09-20,157110,156544,0,0,0,0,0,155347,154836,0,0,0,0,0
2021-09-21,411230,688763,0,0,0,0,0,406050,680049,0,0,0,0,0
2021-09-22,421138,657249,0,0,0,0,0,416087,649487,0,0,0,0,0
2021-09-23,195115,238644,0,0,0,0,0,193117,236243,0,0,0,0,0
2021-09-24,436929,769729,0,0,0,0,0,432119,761513,0,0,0,0,0
2021-09-25,576300,944031,0,0,0,0,0,571379,935672,0,0,0,0,0
2021-09-26,447930,730448,0,0,0,0,0,443696,723908,0,0,0,0,0
2021-09-27,377596,617400,0,0,0,0,0,373011,610013,0,0,0,0,0
2021-09-28,407833,623472,0,0,0,0,0,402764,615888,0,0,0,0,0
2021-09-29,404134,594868,0,0,0,0,0,399294,587611,0,0,0,0,0
2021-09-30,389432,602236,0,0,0,0,0,384716,594962,0,0,0,0,0
2021-10-01,440462,643253,0,0,0,0,0,435765,636281,0,0,0,0,0
2021-10-02,598980,783047,0,0,0,0,0,593479,776169,0,0,0,0,0
2021-10-03,469083,609836,0,0,0,0,0,464289,604463,0,0,0,0,0
2021-10-04,331566,533508,0,0,0,0,0,327071,527442,0,0,0,0,0
2021-10-05,346528,557152,0,0,0,0,0,341727,550580,0,0,0,0,0
2021-10-06,331619,542535,0,0,0,0,0,326813,536168,0,0,0,0,0
